City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
mount isa,AU,-20.73,139.5,91.39999999999992,16,30,4.1
dikson,RU,73.51,80.55,-1.0120000000000005,94,61,1.64
hithadhoo,MV,-0.6,73.08,84.344,69,47,3.06
paranaiba,BR,-19.68,-51.19,73.13000000000005,71,20,1.39
nome,US,64.5,-165.41,31.118000000000052,86,90,2.1
morondava,MG,-20.28,44.28,77.86399999999998,74,3,0.72
carballo,ES,43.21,-8.69,51.583999999999946,87,56,1.0
ondorhaan,ZA,-33.02,27.91,66.66800000000006,73,96,4.24
east london,RE,-21.36,55.77,66.86599999999993,78,8,3.1
saint-philippe,US,42.6,-73.97,54.08600000000007,59,75,9.8
albany,BR,-5.37,-49.12,80.59999999999997,100,20,1.16
maraba,MA,32.3,-9.24,61.160000000000025,80,15,4.87
asfi,AR,-38.0,-57.56,57.32600000000008,76,90,3.6
mar del plata,AU,-24.87,113.63,76.99999999999994,78,25,7.2
carnarvon,US,57.79,-152.41,40.99999999999994,86,90,4.1
kodiak,BR,-3.2,-59.81,76.118,88,75,2.6
careiro da varzea,US,22.08,-159.32,78.90799999999996,78,75,6.2
kapaa,RU,69.3,139.9,-1.461999999999989,83,100,2.97
deputatskiy,AR,-54.8,-68.3,46.39999999999998,70,75,3.1
ushuaia,ID,-3.37,135.48,84.14600000000002,69,93,0.53
nabire,ZA,-34.53,20.04,49.99999999999994,76,5,2.61
bredasdorp,SD,13.6,26.69,72.48200000000003,15,40,6.18
vaitupu,TO,-21.2,-175.2,82.39999999999992,69,75,3.6
umm kaddadah,PF,-9.8,-139.03,82.39999999999992,68,53,2.2
vaini,RU,53.13,35.4,48.36200000000002,72,91,6.29
atuona,RU,68.05,166.44,14.899999999999977,86,64,0.88
khotynets,AU,-33.65,115.33,62.99600000000004,84,80,1.34
bilibino,RU,71.69,128.87,-2.3079999999999927,88,0,2.16
busselton,PK,25.12,62.33,78.40400000000005,80,100,2.91
tiksi,PF,-23.12,-134.97,76.98200000000003,71,79,5.87
gwadar,NZ,-46.19,168.86,46.99400000000003,71,42,8.94
rikitea,NC,-22.67,167.48,75.23600000000005,82,99,7.34
mataura,ML,13.91,-4.55,91.76000000000005,24,36,3.02
vao,AR,-38.55,-58.74,54.787999999999954,62,100,2.24
djenne,AU,-37.83,140.77,64.39999999999992,48,75,4.6
necochea,RU,51.05,142.27,35.97800000000001,80,90,3.31
mount gambier,RU,58.01,114.28,35.599999999999966,69,38,0.86
mgachi,BR,-3.28,-39.27,79.19599999999997,84,100,2.57
barentsburg,SB,-8.1,156.84,84.88399999999996,73,99,1.9
balakhninskiy,NE,13.21,12.02,79.12399999999997,17,23,4.78
trairi,TH,13.45,101.18,83.06599999999997,78,40,4.6
gizo,GL,60.14,-45.24,31.964,95,98,2.95
maine-soroa,NZ,-46.28,169.85,48.00200000000001,65,74,1.79
phanat nikhom,AR,-43.3,-65.1,57.09199999999993,61,0,1.98
nanortalik,US,46.28,-96.08,23.43199999999996,62,1,3.1
kaitangata,CA,62.46,-114.35,26.29400000000004,38,20,5.1
rawson,ZA,-33.93,18.42,55.688000000000045,93,20,1.5
fergus falls,IR,28.75,54.54,53.329999999999984,54,14,0.27
yellowknife,CL,-53.15,-70.92,46.813999999999965,75,75,3.6
cape town,TM,42.06,59.38,37.363999999999976,69,7,2.1
darab,SV,13.28,-88.55,82.39999999999992,83,20,0.5
punta arenas,CA,47.67,-52.73,36.103999999999985,55,20,4.1
taolanaro,CO,11.54,-72.91,82.65199999999999,68,8,5.54
akdepe,ZA,-34.0,24.73,52.646000000000015,80,11,2.79
puerto el triunfo,IR,29.11,58.36,63.896000000000015,37,71,2.79
illoqqortoormiut,NE,13.98,10.27,75.90199999999999,16,0,3.08
torbay,US,71.29,-156.79,26.599999999999966,92,90,5.7
riohacha,US,31.46,-100.44,53.92399999999992,50,1,4.6
kruisfontein,CK,-21.21,-159.78,82.39999999999992,69,94,1.5
bam,SJ,78.22,15.64,15.799999999999955,61,75,7.7
rungata,US,41.37,-73.41,58.72999999999996,77,1,3.1
goure,UY,-33.7,-53.46,65.93,87,98,4.03
barrow,CI,8.37,-4.43,80.63600000000002,62,43,2.65
san angelo,EC,-0.74,-90.35,80.22200000000004,78,75,3.1
avarua,CA,50.03,-66.87,34.62800000000004,100,90,10.8
belushya guba,NG,9.18,7.18,84.00200000000001,30,60,0.74
sentyabrskiy,PT,38.52,-28.7,60.53000000000003,78,74,5.44
longyearbyen,MM,16.78,94.73,76.13600000000002,90,9,1.57
bethel,BR,-24.79,-50.01,60.079999999999984,59,63,2.26
chuy,PG,-2.02,147.27,82.14799999999997,78,100,2.04
toulepleu,AU,-42.88,147.33,60.99799999999999,55,20,7.2
dabakala,RU,64.54,40.54,37.39999999999998,74,40,6.0
puerto ayora,IR,28.22,61.22,62.438000000000045,42,96,4.68
port-cartier,RO,44.75,25.67,52.646000000000015,81,79,2.1
suleja,US,42.1,-79.24,38.85799999999995,69,90,9.3
samalaeulu,RU,61.23,73.33,31.999999999999943,96,96,4.0
ribeira grande,CL,-45.58,-72.07,48.19999999999993,76,40,1.0
pathein,PT,38.73,-27.07,60.80000000000001,72,75,7.67
castro,NO,70.24,22.35,33.26000000000005,74,38,9.3
fierze,CA,69.45,-133.04,26.599999999999966,92,90,3.1
lorengau,CL,-23.65,-70.4,62.599999999999966,82,20,3.6
hobart,CN,41.76,86.15,61.952000000000055,19,73,2.95
arkhangelsk,GL,77.48,-69.36,21.128000000000043,94,100,0.92
khash,GN,9.65,-9.78,74.76800000000009,68,80,1.75
cornatelu,ID,-3.7,128.18,89.59999999999997,66,20,1.5
jamestown,US,38.42,-121.42,72.73399999999998,19,1,5.7
poykovskiy,IT,43.77,11.25,51.656000000000006,87,90,3.6
coihaique,AR,-34.65,-59.43,52.75399999999996,95,100,2.68
praia da vitoria,AR,-31.42,-64.5,54.86000000000007,76,4,3.1
oksfjord,RU,59.45,112.56,37.238,79,2,2.25
tuktoyaktuk,MX,16.6,-92.72,91.39999999999992,26,75,4.6
antofagasta,ID,-6.88,112.21,79.59199999999993,82,62,1.26
korla,CL,-29.95,-71.34,58.99999999999994,82,28,2.6
qaanaaq,GL,69.22,-51.1,28.399999999999977,92,99,5.7
tokonou,TL,-8.93,125.41,68.108,63,62,0.94
ambon,NZ,-46.6,168.33,46.99400000000003,71,52,8.94
laguna,CA,55.74,-97.86,15.799999999999955,40,75,5.1
florence,IE,53.27,-7.49,32.72000000000003,86,40,2.1
mercedes,TR,37.27,28.22,42.799999999999955,93,0,2.1
villa carlos paz,ZA,-34.42,19.23,52.843999999999994,94,33,0.41
vitim,JP,34.67,138.95,56.19199999999995,58,20,5.1
san lucas,US,36.68,-101.48,34.06999999999999,55,90,3.1
labuhan,RU,70.63,147.92,-1.75,91,98,6.09
coquimbo,BR,-5.2,-35.46,78.80000000000001,88,85,2.1
ilulissat,MX,17.96,-102.2,79.77199999999999,63,67,3.28
airai,MY,2.3,111.82,79.73600000000005,83,75,3.1
tabiauea,NZ,-44.27,171.13,51.00799999999998,44,23,4.92
bluff,IL,31.61,34.76,57.05599999999998,82,75,1.5
thompson,RU,43.74,135.29,46.14799999999997,54,0,1.39
tullamore,MX,22.89,-109.91,72.80599999999998,49,40,6.2
bayir,ZA,-33.92,25.57,58.99999999999994,62,51,4.1
hermanus,US,19.73,-155.09,71.25799999999998,69,75,5.1
shimoda,GL,65.61,-37.64,35.599999999999966,43,6,15.9
guymon,US,39.76,-105.22,21.00200000000001,85,90,3.6
chokurdakh,RU,51.85,109.91,34.46599999999995,69,100,0.83
touros,LK,6.12,81.12,76.99999999999994,100,20,3.31
lazaro cardenas,DM,15.43,-61.27,79.66400000000004,75,0,4.77
