City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
poli,-3.33,70.50200000000001,88,75,2.47
saldanha,-33.01,51.799999999999955,63,51,2.6
upernavik,72.79,10.72399999999999,88,45,4.05
busselton,-33.65,84.416,23,0,5.67
yellowknife,62.46,24.799999999999955,79,90,5.7
katsuura,35.13,66.46999999999997,55,20,7.2
iranshahr,27.2,87.80000000000001,16,0,2.1
faanui,-16.48,82.32800000000003,78,82,7.79
jamestown,42.1,48.19999999999993,93,90,3.1
kemin,42.78,51.06200000000001,36,100,0.94
luderitz,-26.65,53.599999999999966,71,0,0.5
chuy,-33.7,55.43599999999998,72,79,5.56
bredasdorp,-34.53,49.99999999999994,81,45,1.0
hermanus,-34.42,56.30000000000001,63,67,6.01
mataura,-46.19,48.99199999999996,89,92,3.13
gorno-chuyskiy,26.12,72.75200000000001,49,40,7.2
itoman,-12.74,67.53199999999998,85,63,1.58
rawannawi,64.38,10.399999999999977,66,20,5.0
vilhena,-2.92,77.108,90,80,3.64
provideniya,39.36,56.21000000000009,100,40,1.5
shibarghan,-5.25,84.52399999999994,67,99,3.03
itarema,47.64,22.17199999999997,95,96,1.98
peniche,5.35,85.19,59,40,5.29
chake chake,-33.02,60.80000000000001,55,16,4.1
kedgwick,-19.23,69.74600000000004,45,11,0.93
hobyo,57.79,31.999999999999943,94,90,7.7
belushya guba,39.05,61.89799999999997,88,20,10.66
east london,71.92,10.129999999999995,92,97,2.03
tsumeb,71.97,19.886000000000024,96,100,3.57
wulanhaote,48.85,51.74599999999998,66,91,1.0
kodiak,-34.0,55.50799999999998,54,16,2.88
lagoa,-21.21,82.39999999999992,74,75,3.1
saskylakh,-30.18,59.21599999999995,70,50,5.55
khatanga,19.28,78.56599999999997,84,0,1.79
paris,5.95,89.06,59,29,3.84
kruisfontein,42.6,44.51000000000005,100,90,2.6
avarua,77.48,9.878000000000043,73,63,2.95
cidreira,19.73,67.08199999999994,88,90,3.1
taolanaro,64.5,-2.0919999999999845,77,1,2.6
bodden town,67.47,33.83600000000001,99,100,6.9
matara,63.01,36.823999999999955,84,21,0.81
albany,70.47,8.599999999999966,55,1,7.2
qaanaaq,-2.67,79.05200000000008,83,98,1.94
hilo,-46.6,48.99199999999996,89,89,3.13
nome,22.57,84.18199999999996,43,1,1.7
tazovskiy,44.9,51.872000000000014,47,0,2.24
chernyshevskiy,-4.28,75.18199999999996,92,100,0.24
clyde river,41.87,54.33800000000002,42,99,3.01
dinsor,60.92,28.399999999999977,42,97,3.6
vanimo,52.13,47.912000000000035,76,96,2.1
bluff,20.35,76.35200000000003,76,32,5.16
